name,code
ABBAYE,ABE
AGGLOMERATION,AGL
AIRE,AIRE
AIRES,AIRE
ALLEE,ALL
ALLEES,ALL
ANCIEN CHEMIN,ACH
ANCIEN-CHEMIN,ACH
ANCIENNE MONTEE,AMT
ANCIENNE ROUTE,ART
ANCIENNE-MONTEE,AMT
ANCIENNE-ROUTE,ART
ANCIENNESROUTES,ART
ANCIENNES-ROUTES,ART
ANCIENS CHEMINS,ACH
ANCIENS-CHEMINS,ACH
ANSE,ANSE
ARCADE,ARC
ARCADES,ARC
AUTOROUTE,AUT
AVENUE,AV
BARRIERE,BRE
BARRIERES,BRE
BAS CHEMIN,BCH
BAS-CHEMIN,BCH
BASTIDE,BSTD
BASTION,BAST
BEGUINAGE,BEGI
BEGUINAGES,BEGI
BERGE,BER
BERGES,BER
BOIS,BOIS
BOUCLE,BCLE
BOULEVARD,BD
BOURG,BRG
BUTTE,BUT
BVD,BD
CALE,CALE
CAMP,CAMP
CAMPAGNE,CGNE
CAMPING,CPG
CARRE,CARR
CARREAU,CAU
CARREFOUR,CAR
CARRIERE,CARE
CARRIERES,CARE
CASTEL,CST
CAVEE,CAV
CENTRAL,CTRE
CENTRE,CTRE
CENTRE CIAL,CCAL
CENTRE COM,CCAL
CENTRE COMM,CCAL
CENTRE COMMERCIAL,CCAL
CHALET,CHL
CHAPELLE,CHP
CHARMILLE,CHI
CHATEAU,CHT
CHAUSSEE,CHS
CHAUSSEES,CHS
CHEM,CHE
CHEMIN,CHE
CHEMIN VICINAL,CHV
CHEMINEMENT,CHEM
CHEMINEMENTS,CHEM
CHEMINS,CHE
CHEMINS VICINAUX,CHV
CHEMINS-VICINAUX,CHV
CHEMIN-VICINAL,CHV
CHEZ,CHEZ
CITE,CITE
CITES,CITE
CLOITRE,CLOI
CLOS,CLOS
COL,COL
COLLINE,COLI
COLLINES,COLI
CONTOUR,CTR
CORNICHE,COR
CORNICHES,COR
COTE,COTE
COTEAU,COTE
COTEAUX,COTE
COTTAGE,COTT
COTTAGES,COTT
COUR,COUR
COURS,CRS
CTRE CIAL,CCAL
CTRE COM,CCAL
CTRE COMM,CCAL
CTRE COMMERCIAL,CCAL
DARSE,DARS
DEGRE,DEG
DEGRES,DEG
DESCENTE,DSC
DESCENTES,DSC
DIGUE,DIG
DIGUES,DIG
